"first_name","last_name","full_name","title","company_name","company_domain","linkedin_url","email (if found)","seniority","source (blitz/clay/both)"
"Kieran","O'Regan","Kieran O'Regan","Founder & Chief Growth Officer","About:Energy","aboutenergy.io","https://www.linkedin.com/in/kieranoregan1994","","CXO","blitz"
"Lori","Cihlar","Lori Cihlar","VP of Marketing","ABOUT Healthcare","abouthealthcare.com","https://www.linkedin.com/in/loricihlar","","VP","blitz"
"Landon","Boogaard","Landon Boogaard","Chief Revenue Officer","Technology Management Concepts","abouttmc.com","https://www.linkedin.com/in/landonboogaard","","CXO","blitz"
"Benjamin","Webb","Benjamin Webb","CEO & Founder","Above Data","abovedata.io","https://www.linkedin.com/in/webbbenjamin","","CXO","blitz"
"Heather","Smith","Heather Smith","VP of Marketing","Abrigo","abrigo.com","https://www.linkedin.com/in/hsmccoy","","VP","blitz"
"Pat","Utz","Pat Utz","Co-Founder & CEO","Abstract","abstract.us","https://www.linkedin.com/in/patrick-utz","","CXO","blitz"
"Zack","Rosen","Zack Rosen","Founder","Abundance Network","abundancenetwork.com","https://www.linkedin.com/in/zacharyrosen","","CXO","blitz"
"Cisco","Caceres","Cisco Caceres","Founder, CTO & CEO","Abundera, Inc.","abundera.ai","https://www.linkedin.com/in/cisco801","","CXO","blitz"
"Matt","DiBlasi","Matt DiBlasi","Chief Executive Officer & Co-founder","Abyde","abyde.com","https://www.linkedin.com/in/matt-diblasi-1a408b14","","CXO","blitz"
"Richard","Price","Richard Price","CEO","Academia.edu","academia.edu","https://www.linkedin.com/in/richardprice","","CXO","blitz"
"Junaili","Lie","Junaili Lie","Co-Founder and CEO","AccelByte","accelbyte.io","https://www.linkedin.com/in/junaili-lie-09b941","","CXO","blitz"
"Rohit","Choudhary","Rohit Choudhary","Founder & CEO","Acceldata","acceldata.io","https://www.linkedin.com/in/rconline","","CXO","blitz"
"Mike","McQuaid","Mike McQuaid","Chief Revenue Officer","Acceldata","acceldata.io","https://www.linkedin.com/in/mcquaid","","CXO","blitz"
"Sean","St. Clair","Sean St. Clair","VP Sales, Strategic Accounts","Acceldata","acceldata.io","https://www.linkedin.com/in/seans2","","VP","blitz"
"Vijay","Proddhutur","Vijay Proddhutur","Founder","Accelerize 360","accelerize360.com","https://www.linkedin.com/in/vijay-proddhutur-7b6b8b5","","CXO","blitz"
"Scott","Craig","Scott Craig","Chief Executive Officer (CEO) / Co-Founder","AccelOne","accelone.com","https://www.linkedin.com/in/scottcraig3","","CXO","blitz"
"Mahendra","Alladi","Mahendra Alladi","Founder & CEO","ACCELQ","accelq.com","https://www.linkedin.com/in/mahendra-alladi","","CXO","blitz"
"Sham","Reddy","Sham Reddy","Director, Office of the CEO","ACCELQ","accelq.com","https://www.linkedin.com/in/sham-reddy","","CXO","blitz"
"Pete","McChrystal","Pete McChrystal","President and CEO","Accent Technologies","accent-technologies.com","https://www.linkedin.com/in/pete-mcchrystal-56637949","","CXO","blitz"
"Marjorie M K","Hlava","Marjorie M K Hlava","Chief Scientist, Chairman and Founder","Access Innovations, Inc.","accessinn.com","https://www.linkedin.com/in/marjorie-m-k-hlava-0b1662","","CXO","blitz"
"David","B.","David B.","Co-Founder & COO at Access IT Automation","Access IT Automation","accessitautomation.com","https://www.linkedin.com/in/davidjbutler","","CXO","blitz"
"Philip","Eller","Philip Eller","CEO & Co-Founder","AccessOwl","accessowl.com","https://www.linkedin.com/in/philip-eller-7667238b","","CXO","blitz"
"Khurram Bilal","Nawaz","Khurram Bilal Nawaz","Chief Technology Officer & Founder","AcclivousByte","acclivousbyte.com","https://www.linkedin.com/in/khurram-bilal-nawaz","","CXO","blitz"
"Lwin","Maung","Lwin Maung","Founder and Managing Director","Accolade Solutions","accolade.solutions","https://www.linkedin.com/in/lmaung","","CXO","blitz"
"David","Yue","David Yue","Co-Founder & CEO","Accordance","accordance.com","https://www.linkedin.com/in/dyyy","","CXO","blitz"
"Reid","Sandelands","Reid Sandelands","CEO","Accordant Company","accordantco.com","https://www.linkedin.com/in/reid-sandelands-3579008b","","CXO","blitz"
"Frank","Cheung","Frank Cheung","Co-Founder & CEO","Accorded","accorded.com","https://www.linkedin.com/in/frank-cheung-25714a35","","CXO","blitz"
"James","Geyer","James Geyer","Co-Founder","AccountAim: RevOps Analytics","accountaim.com","https://www.linkedin.com/in/james-geyer-00","","CXO","blitz"
"Josh","McClanahan","Josh McClanahan","Co-Founder & CEO","AccountAim: RevOps Analytics","accountaim.com","https://www.linkedin.com/in/josh-mcclanahan","","CXO","blitz"
"Nasser","Chanda","Nasser Chanda","CEO","Accounting Seed","accountingseed.com","https://www.linkedin.com/in/nasser-chanda-7b7230","","CXO","blitz"
"Gennadii","Armashula","Gennadii Armashula","CEO, Head of Growth","Accton","accton.io","https://www.linkedin.com/in/armashula","","CXO","blitz"
"David","Cohen","David Cohen","Director / Founder","Accumen Data Services","accumends.com","https://www.linkedin.com/in/rdavidcohen","","CXO","blitz"
"Juan C","Jimenez","Juan C Jimenez","Co-Founder and CEO","AccurKardia","accurkardia.com","https://www.linkedin.com/in/jcjimenezbosques","","CXO","blitz"
"Mohamed Sadeq","Ali","Mohamed Sadeq Ali","Co-founder & Chief Operating Officer","AccurKardia","accurkardia.com","https://www.linkedin.com/in/mohamedsali","","CXO","blitz"
"Jacob","Haddad","Jacob Haddad","Co-Founder","Accurx","accurx.com","https://www.linkedin.com/in/jacobnhaddad","","CXO","blitz"
"Michael","Hess","Michael Hess","CEO","Accuvia Software Group","accuvia.com","https://www.linkedin.com/in/mihess","","CXO","blitz"
"Peter","Anderson","Peter Anderson","VP Sales & Business Development","ACD Systems","acdsee.com","https://www.linkedin.com/in/peterdanderson","","VP","blitz"
"Caleb","Jones","Caleb Jones","Co-founder | Chief Executive Officer","Acentri","acentri.com","https://www.linkedin.com/in/j-caleb-jones","","CXO","blitz"
"Greta","Cutulenco","Greta Cutulenco","Founder & CEO","Acerta","acerta.ai","https://www.linkedin.com/in/greta-cutulenco","","CXO","blitz"
"Conor","D.","Conor D.","Co-Founder/Advisor","Ace Virtual Shooting","acexr.com","https://www.linkedin.com/in/conordonahue","","CXO","blitz"
"Gregory L","Keeney","Gregory L Keeney","VP of Enterprise Sales & Channel Partnerships","Ace Virtual Shooting","acexr.com","https://www.linkedin.com/in/gregorylkeeney","","VP","blitz"
"Colin","Callahan","Colin Callahan","Founder","Acklen Avenue","acklenavenue.com","https://www.linkedin.com/in/colin-callahan-63b0512","","CXO","blitz"
"David","Wald","David Wald","President and Co-Founder","Aclaimant","aclaimant.com","https://www.linkedin.com/in/davidawald","","CXO","blitz"
"Alex","Chilow","Alex Chilow","VP of Sales","Aclaimant","aclaimant.com","https://www.linkedin.com/in/alex-chilow-47195a35","","VP","blitz"
"Matthew","Hamburger","Matthew Hamburger","Founder","Acme Software","acmesoftware.com","https://www.linkedin.com/in/matthew-hamburger-0277092","","CXO","blitz"
"Ravi","M.","Ravi M.","Founder","Acnovate Corporation","acnovate.com","https://www.linkedin.com/in/ravi-m-842921","","CXO","blitz"
"James","Pring","James Pring","Head of Growth - Global Reinsurance & Large Commercial","ACORD Solutions Group","acordsolutions.com","https://www.linkedin.com/in/jamesleepring","","Director","blitz"
"Sheng","Liang","Sheng Liang","Cofounder and CEO","Obot AI","acorn.io","https://www.linkedin.com/in/shengliang","","CXO","blitz"
"Chris","Swan","Chris Swan","VP of Sales, Cisco","Acqueon","acqueon.com","https://www.linkedin.com/in/chrisswan1","","VP","blitz"
"Ryan","Hoogerwerf","Ryan Hoogerwerf","VP of Sales & Partnerships","AcquireROI","acquireroi.com","https://www.linkedin.com/in/ryan-hoogerwerf-bba822149","","VP","blitz"
"Ben","Maddox","Ben Maddox","Chief Operating Officer & Co-Founder","Acres","acres.com","https://www.linkedin.com/in/ben-maddox-3b157167","","CXO","blitz"
